question_text,option_1,option_2,option_3,option_4,correct_answer,difficulty,section
"What does SQL stand for?","Structured Query Language","Simple Query Language","Strong Query Language","Sequential Query Language",1,easy,A
"Which of the following is used to uniquely identify a tuple in a relation?","Primary Key","Foreign Key","Local Key","Secondary Key",1,easy,A
"Which Normal Form (NF) is specifically designed to handle transitive dependencies?","1NF","2NF","3NF","BCNF",3,medium,B
"In a relational database, what is the 'Atomicity' property of ACID?","Ensures data is consistent","Transactions are all-or-nothing","Concurrent transactions don't interfere","Data persists after failure",2,medium,B
"Which join returns all rows from the left table and the matched rows from the right table?","INNER JOIN","RIGHT JOIN","LEFT JOIN","CROSS JOIN",3,easy,A
"Which of the following concurrency control protocols ensures conflict serializability and freedom from deadlock?","Two-Phase Locking (2PL)","Timestamp Ordering","Strict 2PL","Optimistic Concurrency Control",2,hard,C
"What is the maximum number of keys in a B+ tree node of order n?","n","n-1","n/2","n+1",2,hard,C
"A functional dependency X -> Y is trivial if:","Y is a subset of X","X is a subset of Y","X is a primary key","Y is a primary key",1,medium,B
"What is the result of the whistle-blower problem in database security?","Data Leakage","Inference","SQL Injection","Deadlock",2,hard,C
"Which operation is used to combine all rows from two relations while removing duplicates?","Intersection","Set Difference","Union","Cartesian Product",3,easy,A
